title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
When I’m Gone (with Katy Perry),"Alesso, Katy Perry",spotify:track:5902W4uHWzhtOff1UK7the,0.685,0.886,0.0,-4.179,1.0,0.034,0.028,0.0,0.481,0.615,125.034,5902W4uHWzhtOff1UK7the,161267.0,4.0
Tick Tock (feat. 24kGoldn),"Clean Bandit, Mabel, 24kGoldn",spotify:track:27u7t9d7ZQoyjsCROHuZJ3,0.779,0.705,0.0,-3.895,1.0,0.0344,0.369,7.91e-06,0.124,0.946,101.022,27u7t9d7ZQoyjsCROHuZJ3,178374.0,4.0
Rise,Lost Frequencies,spotify:track:7HXBG0W8gFJwHUh5mVF9tf,0.689,0.612,6.0,-6.014,1.0,0.0387,0.228,7.77e-06,0.368,0.461,122.076,7HXBG0W8gFJwHUh5mVF9tf,193018.0,4.0
Señorita,"Shawn Mendes, Camila Cabello",spotify:track:6v3KW9xbzN5yKLt9YKDYA2,0.759,0.548,9.0,-6.049,0.0,0.029,0.0392,0.0,0.0828,0.749,116.967,6v3KW9xbzN5yKLt9YKDYA2,190800.0,4.0
Lost In Japan,Shawn Mendes,spotify:track:0TFpGNlWslRQO4oyTtJq6K,0.711,0.738,10.0,-6.908,1.0,0.356,0.264,0.0,0.136,0.381,105.049,0TFpGNlWslRQO4oyTtJq6K,200840.0,4.0
If I Can't Have You,Shawn Mendes,spotify:track:2bT1PH7Cw3J9p3t7nlXCdh,0.691,0.823,2.0,-4.197,1.0,0.0623,0.487,0.0,0.134,0.87,123.935,2bT1PH7Cw3J9p3t7nlXCdh,191467.0,4.0
In My Blood,Shawn Mendes,spotify:track:2SFnIqRWyHt9MUNeXkykii,0.625,0.712,5.0,-7.355,1.0,0.0537,0.0542,0.0,0.109,0.459,140.022,2SFnIqRWyHt9MUNeXkykii,211293.0,4.0
Fallin' All In You,Shawn Mendes,spotify:track:49u62ZMTXz91U8V4uXaJ4q,0.856,0.481,8.0,-6.761,1.0,0.038,0.414,0.0,0.111,0.761,92.031,49u62ZMTXz91U8V4uXaJ4q,235760.0,4.0
Where Were You In The Morning?,Shawn Mendes,spotify:track:2UCYrYM83sowbj1OG6qsVn,0.717,0.507,7.0,-7.525,1.0,0.0495,0.557,0.0,0.106,0.479,87.989,2UCYrYM83sowbj1OG6qsVn,200587.0,4.0
Nervous,Shawn Mendes,spotify:track:3J3AQ7NSo0p3RX8U2gnC4v,0.844,0.627,0.0,-6.753,1.0,0.0741,0.0376,0.0,0.159,0.732,121.96,3J3AQ7NSo0p3RX8U2gnC4v,164213.0,4.0
Like To Be You (feat. Julia Michaels),"Shawn Mendes, Julia Michaels",spotify:track:5VQBZPF4L2VrR7aMfAdRq3,0.737,0.444,2.0,-9.382,1.0,0.264,0.799,0.0,0.107,0.628,153.754,5VQBZPF4L2VrR7aMfAdRq3,159533.0,4.0
Particular Taste,Shawn Mendes,spotify:track:3isPczLtjVuERmr5hpSvIl,0.968,0.351,9.0,-7.084,1.0,0.129,0.0455,8.48e-05,0.065,0.585,111.954,3isPczLtjVuERmr5hpSvIl,175573.0,4.0
Because I Had You,Shawn Mendes,spotify:track:1RL042HeY9ln1Bwu2ODyJJ,0.633,0.323,7.0,-9.723,1.0,0.411,0.305,0.0,0.321,0.713,203.709,1RL042HeY9ln1Bwu2ODyJJ,142533.0,4.0
Why,Shawn Mendes,spotify:track:6oZk0lzaP7RcwKjyZrIJBV,0.693,0.426,5.0,-9.226,0.0,0.0513,0.659,0.0,0.0663,0.213,127.022,6oZk0lzaP7RcwKjyZrIJBV,238093.0,4.0
Youth (feat. Khalid),"Shawn Mendes, Khalid",spotify:track:5cWIKVqSpJQiRmG59sfii5,0.618,0.596,11.0,-6.663,0.0,0.0805,0.558,0.0,0.15,0.325,100.028,5cWIKVqSpJQiRmG59sfii5,190827.0,4.0
